mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
42.152624011039734,0.061363816261291504,0.43014442920684814,0.009394288063049316,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.2977621332930378,0.3172966125580973,0.3075293729255676,0.009767239632529762,26
85.2362449169159,0.03496098518371582,1.1424415111541748,0.013907432556152344,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.301246589077804,0.30646447354126427,0.30385553130953413,0.002608942231730138,31
41.915812730789185,0.09945344924926758,0.40458738803863525,0.033202528953552246,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.3055249874547936,0.3042041427221098,0.3048645650884517,0.0006604223663418951,28
84.64902758598328,0.09433150291442871,0.9997904300689697,0.03503537178039551,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.30091116983458616,0.30145821332060285,0.30118469157759453,0.0002735217430083481,33
41.91822850704193,0.01966845989227295,0.4163116216659546,0.004121661186218262,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.3005770412003144,0.30774257728895804,0.30415980924463626,0.00358276804432181,30
84.58410906791687,0.18068504333496094,0.9881724119186401,0.0971454381942749,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.3035589830735679,0.30526279356466074,0.30441088831911434,0.0008519052455464304,29
43.170100927352905,0.18289804458618164,0.6031415462493896,0.0279695987701416,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.3115682701226647,0.31270758036627944,0.31213792524447204,0.000569655121807372,25
89.47794497013092,0.0391620397567749,0.6763101816177368,0.008134007453918457,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.2984856647576405,0.30186804470253287,0.3001768547300867,0.0016911899724461887,35
42.79951238632202,0.16353249549865723,0.6177130937576294,0.018565058708190918,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.30206332756208304,0.29668936318268074,0.2993763453723819,0.002686982189701148,36
100.068976521492,0.11348855495452881,0.8563696146011353,0.01290738582611084,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.30778538496580676,0.3029292798056213,0.30535733238571405,0.0024280525800927377,27
45.72985541820526,0.018375277519226074,0.3399195671081543,0.0016872882843017578,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.2954392851362274,0.3061623281075721,0.3008008066218998,0.005361521485672344,34
99.74775505065918,0.20706486701965332,0.8605070114135742,0.00491786003112793,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.30305766410190366,0.3026811674015184,0.302869415751711,0.00018824835019262687,32
71.7218005657196,0.09380340576171875,0.6284245252609253,0.002219557762145996,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.3573172504477202,0.3567531827990278,0.357035216623374,0.00028203382434621727,23
148.9864274263382,0.10048353672027588,0.9693969488143921,0.009537100791931152,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.3643905537413492,0.36581952319620586,0.3651050384687775,0.0007144847274283272,6
78.289093375206,0.21840155124664307,0.5845416784286499,0.004946589469909668,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.3669239380376129,0.359348748915286,0.36313634347644946,0.0037875945611634543,9
139.81596648693085,0.006490349769592285,0.8972960710525513,0.0009161233901977539,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.3608136800727918,0.36494792025132156,0.3628808001620567,0.002067120089264879,10
76.01570248603821,0.016783475875854492,0.4816070795059204,0.00752103328704834,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.3623186790566659,0.36305321316720945,0.3626859461119377,0.00036726705527176384,11
125.90476524829865,0.42301905155181885,0.9132074117660522,0.004306435585021973,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.3658987226361575,0.364543774737982,0.36522124868706973,0.0006774739490877646,5
66.52074360847473,0.14606451988220215,0.4450390338897705,0.003854990005493164,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.36284788773414356,0.3602716377239806,0.3615597627290621,0.0012881250050814919,15
116.24094188213348,0.476476788520813,0.8699924945831299,0.005776643753051758,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.3674410187844536,0.36461656106163837,0.366028789923046,0.0014122288614076273,2
53.750292897224426,0.26947200298309326,0.4400634765625,0.001165628433227539,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.3571000102052727,0.35799529465081353,0.3575476524280431,0.0004476422227704113,22
107.21603381633759,0.43284499645233154,0.8534805774688721,0.0002474784851074219,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.3622116230861849,0.36098793616563,0.36159977962590745,0.0006118434602774281,14
53.48771810531616,0.0908210277557373,0.43219149112701416,0.001696467399597168,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.360663710143444,0.36170633971950755,0.36118502493147575,0.0005213147880317737,17
107.16129052639008,0.4767266511917114,0.8361315727233887,0.0008854866027832031,20,4,10,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.3573549260928408,0.36160396808087,0.3594794470868554,0.0021245209940145837,19
60.62454128265381,0.19846653938293457,0.4875551462173462,0.004130005836486816,30,1,5,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.3607703974537802,0.36301547509079657,0.36189293627228836,0.0011225388185081842,13
120.72385311126709,0.334766149520874,0.9656884670257568,0.0034835338592529297,30,1,5,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.3649603038105227,0.36701456550994727,0.365987434660235,0.0010271308497122877,3
58.282790303230286,0.011669516563415527,0.45530807971954346,0.0038698911666870117,30,1,10,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.36582543227376535,0.36074823700223696,0.36328683463800115,0.002538597635764195,8
116.96717357635498,0.4814884662628174,0.8830065727233887,0.0019423961639404297,30,1,10,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.36415164431827773,0.36926731520656225,0.36670947976241997,0.002557835444142259,1
58.42537045478821,0.06979656219482422,0.47620606422424316,0.0010459423065185547,30,2,5,100,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.3533880159375609,0.36508235324006216,0.35923518458881154,0.005847168651250623,21
116.57495844364166,0.24203145503997803,0.8786849975585938,0.0006971359252929688,30,2,5,200,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.3645043363666265,0.3674110271917029,0.36595768177916466,0.0014533454125381928,4
56.75957441329956,0.2021465301513672,0.4596015214920044,7.510185241699219e-06,30,2,10,100,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.3590790800428946,0.36100326349637474,0.3600411717696347,0.0009620917267400553,18
107.21930086612701,0.07417809963226318,0.6799120903015137,0.005368947982788086,30,2,10,200,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.3633381536474238,0.36333161673900266,0.3633348851932132,3.268454210558769e-06,7
54.20461809635162,0.05997192859649658,0.43725335597991943,0.010743498802185059,30,4,5,100,"{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.35590692312926875,0.3562724480658155,0.3560896855975421,0.0001827624682733675,24
88.63530743122101,0.08272945880889893,0.6738550662994385,0.0019021034240722656,30,4,5,200,"{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.3622770638904401,0.36017192860502995,0.361224496247735,0.0010525676427050878,16
50.438663840293884,0.09333980083465576,0.369187593460083,0.0013134479522705078,30,4,10,100,"{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.3585967699641505,0.3600531968335361,0.35932498339884333,0.0007282134346927871,20
82.62901163101196,0.31931352615356445,0.6451724767684937,0.013975262641906738,30,4,10,200,"{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.3638546335675603,0.36037877449135186,0.36211670402945606,0.001737929538104227,12
